Period,First Release
2011-06-11,414000.0
2011-06-04,427000.0
2011-05-28,422000.0
2011-05-21,424000.0
2011-05-14,409000.0
2011-05-07,434000.0
2011-04-30,474000.0
2011-04-23,429000.0
2011-04-16,403000.0
2011-04-09,412000.0
2011-04-02,382000.0
2011-03-26,388000.0
2011-03-19,382000.0
2011-03-12,385000.0
2011-03-05,397000.0
2011-02-26,368000.0
2011-02-19,391000.0
2011-02-12,410000.0
2011-02-05,383000.0
2011-01-29,415000.0
2011-01-22,454000.0
2011-01-15,404000.0
2011-01-08,445000.0
2011-01-01,409000.0
2010-12-25,388000.0
2010-12-18,420000.0
2010-12-11,420000.0
2010-12-04,421000.0
2010-11-27,436000.0
2010-11-20,407000.0
2010-11-13,439000.0
2010-11-06,435000.0
2010-10-30,457000.0
2010-10-23,434000.0
2010-10-16,452000.0
2010-10-09,462000.0
2010-10-02,445000.0
2010-09-25,453000.0
2010-09-18,465000.0
2010-09-11,450000.0
2010-09-04,451000.0
2010-08-28,472000.0
2010-08-21,473000.0
2010-08-14,500000.0
2010-08-07,484000.0
2010-07-31,479000.0
2010-07-24,457000.0
2010-07-17,464000.0
2010-07-10,429000.0
2010-07-03,454000.0
2010-06-26,472000.0
2010-06-19,457000.0
2010-06-12,472000.0
2010-06-05,456000.0
2010-05-29,453000.0
2010-05-22,460000.0
2010-05-15,471000.0
2010-05-08,444000.0
2010-05-01,444000.0
2010-04-24,448000.0
2010-04-17,456000.0
2010-04-10,484000.0
2010-04-03,460000.0
2010-03-27,439000.0
2010-03-20,442000.0
2010-03-13,457000.0
2010-03-06,462000.0
2010-02-27,469000.0
2010-02-20,496000.0
2010-02-13,473000.0
2010-02-06,440000.0
2010-01-30,480000.0
2010-01-23,470000.0
2010-01-16,482000.0
2010-01-09,444000.0
2010-01-02,434000.0
2009-12-26,432000.0
2009-12-19,452000.0
2009-12-12,480000.0
2009-12-05,474000.0
2009-11-28,457000.0
2009-11-21,466000.0
2009-11-14,505000.0
2009-11-07,502000.0
2009-10-31,512000.0
2009-10-24,530000.0
2009-10-17,531000.0
2009-10-10,514000.0
2009-10-03,521000.0
2009-09-26,551000.0
2009-09-19,530000.0
2009-09-12,545000.0
2009-09-05,550000.0
2009-08-29,570000.0
2009-08-22,570000.0
2009-08-15,576000.0
2009-08-08,558000.0
2009-08-01,550000.0
2009-07-25,584000.0
2009-07-18,554000.0
2009-07-11,522000.0
2009-07-04,565000.0
2009-06-27,614000.0
2009-06-20,627000.0
2009-06-13,608000.0
2009-06-06,601000.0
2009-05-30,621000.0
2009-05-23,623000.0
2009-05-16,631000.0
2009-05-09,637000.0
2009-05-02,601000.0
2009-04-25,631000.0
2009-04-18,640000.0
2009-04-11,610000.0
2009-04-04,654000.0
2009-03-28,669000.0
2009-03-21,652000.0
2009-03-14,646000.0
2009-03-07,654000.0
2009-02-28,639000.0
2009-02-21,667000.0
2009-02-14,627000.0
2009-02-07,623000.0
2009-01-31,626000.0
2009-01-24,588000.0
2009-01-17,589000.0
2009-01-10,524000.0
2009-01-03,467000.0
2008-12-27,492000.0
2008-12-20,586000.0
2008-12-13,554000.0
2008-12-06,573000.0
2008-11-29,509000.0
2008-11-22,529000.0
